NRO,EMPRESA,TIPO_DOCUMENTO_TITULAR,NRO_DOCUMENTO_TITULAR,FECHA_NACIMIENTO_TITULAR,NOMBRE_TITULAR,PATERNO_TITULAR,MATERNO_TITULAR,NACIONALIDAD_TITULAR,SEXO_TITULAR,NRO_SEGURO_TITULAR,NRO_CELULAR_TITULAR,TITULAR_ES_BENEFICIARIA,TIPO_DOCUMENTO_BENEFICIARIA,NRO_DOCUMENTO_BENEFICIARIA,FECHA_NACIMIENTO_BENEFICIARIA,NOMBRE_BENEFICIARIA,PATERNO_BENEFICIARIA,MATERNO_BENEFICIARIA,NACIONALIDAD_BENEFICIARIA,SEXO_BENEFICIARIA,NRO_SEGURO_BENEFICIARIA,NRO_CELULAR_BENEFICIARIA,TIPO_SUBSIDIO,MONTO,CANTIDAD,TOTAL,NRO_ASIGNACION,DISTRITO,FECHA_INICIO,FECHA_FIN
1,MAGISTERIO,CI,5623072,11/05/1983,HORACIO,BAZAN,NAJAYA,BOLIVIA,M,354782,71539700,NO,CI,5273832,30/10/2001,MARISOL,ALDUNATE,,BOLIVIA ,F,35354,78666666,3,2000,464,6000,1,LA PAZ,05/01/2018,12/01/2018
2,MAGISTERIO,CI,2342632,06/10/1977,FERNANDO,BEJAR,MOLINA,BOLIVIA,M,354783,71539701,NO,CI,6412978,30/05/2004,ZULMA,ALMENDRAS,HERBAS,BOLIVIA ,F,35354,78666667,1,2000,465,2000,1,LA PAZ,05/01/2018,12/01/2018
3,MAGISTERIO,CI,4192688,27/04/2010,REMMY,CALLAU,ALVAREZ,BOLIVIA,F,354784,71539702,SI,,,,,,,,,,78666668,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
4,MAGISTERIO,CI,7646584,17/09/1995,IVER,CALLER,NORO,BOLIVIA,M,354785,71539703,NO,CI,3013577,07/09/1980,KARIM,ALVARADO,ALVAREZ,BOLIVIA ,F,35354,78666669,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
5,MAGISTERIO,CI,1767009,24/09/1978,CARLA,CAMARGO,MORALES,BOLIVIA,F,354786,71539704,SI,,,,,,,,,,78666670,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
6,MAGISTERIO,CI,7597425,02/05/2003,GADIEL,CAMPOS,CARTAGENA,BOLIVIA,F,354787,71539705,SI,,,,,,,,,,78666671,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
7,MAGISTERIO,CI,5591850,20/12/1994,FERNANDO,CAMPOS,MALALA,BOLIVIA,M,354788,71539706,NO,CI,3575922,20/05/1977,VARINIA,AMELLER,BADANI,BOLIVIA ,F,35354,78666672,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
8,MAGISTERIO,CI,8907493,30/06/1984,KEILA,CANDIA,,BOLIVIA,F,354789,71539707,SI,,,,,,,,,,78666673,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
9,MAGISTERIO,CI,7595102,12/10/1955,JOSE,CARDONA,PANIAGUA,BOLIVIA,M,354790,71539708,NO,CI,5318304,21/04/1963,ORLANDO,ANGULO,BAUTISTA,BOLIVIA ,F,35354,78666674,3,2000,472,6000,1,LA PAZ,05/01/2018,12/01/2018
10,MAGISTERIO,CI,7646216,30/04/1991,CAROLA,CARTAGENA,DAVALOS,BOLIVIA,F,354791,71539709,SI,,,,,,,,,,78666675,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
